lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.076853,-34.897301,-63.5,-27.7,-77.7666666667,-63.5333333333,-72.1,-82.4333333333
-8.06861,-34.896439,-51.1,-63.2,-56.15,-50.9,-70.25,-55.7
-8.075295,-34.900089,-68.375,-57.125,-65.8,-76.5,-81.725,-80.225
-8.077357,-34.898571,-67.0,-27.65,-64.95,-68.65,-79.8,-78.95
-8.074129,-34.89983,-63.1,-51.8,-46.55,-66.65,-82.05,-77.55
-8.071206,-34.89698,-46.15,-64.1,-63.9,-58.95,-72.45,-70.1
-8.073222,-34.896523,-43.56,-59.94,-53.36,-46.0,-68.58,-63.28
-8.073071,-34.896347,-45.4333333333,-45.2333333333,-66.1,-40.4333333333,-63.6,-80.4333333333
-8.075984,-34.896126,-60.45,-49.7,-72.8,-72.3,-70.0,-79.95
-8.076097,-34.899826,-73.1666666667,-57.3333333333,-63.5666666667,-78.2333333333,-82.5333333333,-82.3333333333
-8.07516,-34.893482,-54.9,-60.4,-65.65,-43.1,-62.3,-76.75
-8.072548,-34.89674,-44.5,-45.5,-70.1,-39.95,-67.8,-80.55
-8.061263,-34.904106,-78.8666666667,-62.6666666667,-72.3666666667,-77.4,-70.1333333333,-73.0
-8.066795,-34.896458,-59.3,-58.0,-67.55,-67.9,-73.85,-38.75
-8.070123,-34.89386,-45.575,-65.5,-66.55,-47.825,-48.575,-48.175
-8.070709,-34.891792,-41.8,-68.8666666667,-68.1,-51.3,-41.8,-80.9666666667
-8.070302,-34.900936,-71.3,-71.8333333333,-58.9666666667,-66.5,-80.8666666667,-73.5333333333
-8.064623,-34.90144,-72.5666666667,-65.4333333333,-73.2666666667,-69.7333333333,-80.5,-66.4333333333
-8.074588,-34.900272,-63.4666666667,-59.0,-59.7333333333,-68.6666666667,-85.1,-80.1333333333
-8.0673,-34.893856,-57.8666666667,-65.8,-75.8666666667,-65.2333333333,-66.2666666667,-39.6666666667
-8.075608,-34.899971,-69.7666666667,-56.2333333333,-72.2,-72.4666666667,-80.0666666667,-86.8666666667
-8.069966,-34.894264,-56.2666666667,-68.0666666667,-67.6666666667,-66.2333333333,-62.4,-45.3
-8.075912,-34.899895,-70.5333333333,-54.2,-65.2333333333,-74.7,-86.3666666667,-84.6
-8.077016,-34.897705,-61.5,-25.2333333333,-72.2,-61.4,-78.0,-82.4333333333
-8.076719,-34.899628,-64.7,-59.6666666667,-66.5,-77.2666666667,-74.1,-81.0666666667
-8.072913,-34.896629,-43.15,-47.15,-63.65,-45.3,-59.2,-71.8
-8.072479,-34.892586,-50.5666666667,-67.5333333333,-65.7333333333,-46.9666666667,-51.6,-60.7666666667
-8.068971,-34.895992,-47.85,-66.25,-64.65,-47.9,-52.8,-66.75
-8.070005,-34.897434,-49.35,-58.3,-65.95,-52.7,-62.9,-51.1
-8.071873,-34.900753,-64.75,-58.85,-71.85,-65.45,-81.1,-72.9
-8.060138,-34.905865,-78.7,-74.4,-74.9666666667,-76.9,-80.7,-77.5
-8.07733,-34.898716,-65.0333333333,-26.5333333333,-67.8,-68.4666666667,-71.1,-78.4
-8.069659,-34.894741,-51.0333333333,-68.8666666667,-66.8666666667,-67.2666666667,-53.8333333333,-43.9
-8.068832,-34.900352,-49.7,-57.7333333333,-64.1,-64.5666666667,-70.1666666667,-45.7
-8.071707,-34.890694,-52.4666666667,-68.3,-65.3,-48.0333333333,-44.5333333333,-78.9
-8.072408,-34.892197,-52.375,-59.05,-58.15,-36.0,-54.6,-74.15
-8.072601,-34.896152,-50.25,-55.7,-63.1,-41.45,-65.75,-69.2
-8.072492,-34.89677,-46.4,-45.6666666667,-69.5333333333,-45.4,-55.1333333333,-75.0666666667
-8.069141,-34.890709,-59.8333333333,-66.0333333333,-70.8,-52.1,-31.4333333333,-71.8666666667
-8.065846,-34.896938,-67.0333333333,-51.9666666667,-64.6333333333,-48.2333333333,-71.7666666667,-39.6
-8.074538,-34.900276,-63.65,-61.65,-49.35,-70.55,-81.55,-78.1
-8.070639,-34.891953,-54.8,-76.7333333333,-66.5,-55.5666666667,-37.4333333333,-76.9
-8.072911,-34.895523,-39.8,-69.5333333333,-34.7,-52.0,-63.9666666667,-72.5333333333
-8.062373,-34.887775,-79.65,-77.4,-88.95,-88.45,-84.15,-91.05
-8.072039,-34.897087,-49.1,-61.7666666667,-64.8666666667,-46.5,-67.9666666667,-77.1
-8.074629,-34.890263,-59.4333333333,-71.9333333333,-75.6666666667,-49.1333333333,-71.6333333333,-92.3333333333
-8.069895,-34.897591,-52.6,-61.6333333333,-62.5666666667,-58.5333333333,-67.7333333333,-51.9333333333
-8.071336,-34.897015,-47.4,-64.85,-70.05,-51.0,-73.55,-59.7
-8.069806,-34.889469,-66.0333333333,-79.0333333333,-77.8666666667,-55.6,-46.9333333333,-81.5666666667
-8.075171,-34.891991,-54.6,-66.8,-75.6666666667,-39.6666666667,-66.5,-89.0333333333
-8.06484,-34.885086,-66.1333333333,-75.8333333333,-75.0333333333,-64.2666666667,-72.8333333333,-76.7
-8.065421,-34.886696,-73.1666666667,-73.8666666667,-76.0666666667,-73.0,-65.0333333333,-72.5
-8.067605,-34.893211,-60.5,-75.45,-64.45,-56.2,-70.65,-59.0
-8.072875,-34.895401,-44.15,-68.7,-39.15,-57.0,-60.65,-71.15
-8.069616,-34.894836,-45.9,-68.3333333333,-66.6,-64.3333333333,-52.6,-54.1
-8.068623,-34.897186,-57.2,-61.45,-62.6,-55.45,-74.4,-54.2
-8.068761,-34.889,-64.2,-77.5666666667,-77.6,-68.0333333333,-44.7,-68.6333333333
-8.063645,-34.886196,-68.1,-87.8333333333,-85.3,-82.8333333333,-86.8333333333,-94.0
-8.076477,-34.899712,-69.8666666667,-48.7333333333,-65.5333333333,-75.1666666667,-84.4666666667,-86.0666666667
-8.076149,-34.89608,-63.3,-56.5,-72.1,-72.1,-71.3,-79.65
-8.075587,-34.89999,-65.6333333333,-50.5333333333,-65.7333333333,-77.0333333333,-85.1333333333,-85.9
-8.069687,-34.890633,-53.4,-72.1666666667,-61.9,-51.7333333333,-49.3666666667,-53.9333333333
-8.065246,-34.892952,-77.6666666667,-66.0666666667,-75.3,-69.8,-66.6666666667,-63.1666666667
-8.070904,-34.89196,-44.525,-75.55,-72.8,-62.25,-31.125,-74.725
-8.070678,-34.892811,-50.6,-66.9333333333,-67.2,-47.7,-53.8666666667,-49.7333333333
-8.065588,-34.893734,-73.625,-65.425,-72.0,-73.875,-63.825,-59.1
-8.07443,-34.890228,-39.5333333333,-78.3333333333,-68.0666666667,-57.9,-65.7666666667,-80.3333333333
-8.076035,-34.899834,-70.2666666667,-54.5,-68.9,-76.8666666667,-81.3333333333,-87.5666666667
-8.065303,-34.889534,-81.7333333333,-73.0666666667,-81.6333333333,-77.9333333333,-57.9,-73.4333333333
-8.077293,-34.898491,-58.0,-30.8333333333,-67.7,-71.3333333333,-74.8333333333,-80.4
-8.069586,-34.890732,-51.0,-79.5333333333,-62.2333333333,-58.8,-51.2333333333,-64.2333333333
-8.07565,-34.896221,-60.2666666667,-59.2333333333,-76.2333333333,-65.2333333333,-75.7,-83.5
-8.06445,-34.894356,-77.3333333333,-62.1666666667,-72.3333333333,-80.5,-67.3666666667,-60.6333333333
-8.071791,-34.900753,-67.6333333333,-59.5666666667,-60.4,-68.7333333333,-83.9666666667,-75.8
-8.074609,-34.900265,-60.925,-57.825,-49.6,-74.45,-82.575,-81.25
-8.067136,-34.893906,-67.2666666667,-79.7666666667,-73.2,-68.9666666667,-67.6333333333,-48.6666666667
-8.068475,-34.896626,-47.95,-47.75,-52.3,-35.65,-61.2,-47.3
-8.073418,-34.89399,-32.3333333333,-56.4333333333,-52.3666666667,-36.6333333333,-55.9666666667,-48.0666666667
-8.065819,-34.891068,-86.1666666667,-79.1,-78.4,-74.6666666667,-61.4333333333,-62.2333333333
