lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.074183,-34.890305,-36.2,-75.9,-68.3666666667,-59.3333333333,-58.0666666667,-76.6333333333
-8.073231,-34.896477,-37.45,-49.1,-46.05,-45.55,-61.45,-70.05
-8.075302,-34.900066,-71.0,-62.3666666667,-65.0333333333,-78.5,-83.0333333333,-83.1333333333
-8.072798,-34.89666,-51.5,-40.5666666667,-68.3,-31.6,-69.1666666667,-81.4333333333
-8.06605,-34.896439,-65.3333333333,-59.4333333333,-67.8666666667,-61.3666666667,-69.2333333333,-48.7666666667
-8.066756,-34.892712,-77.8,-67.4333333333,-70.3333333333,-75.2333333333,-64.5666666667,-44.5666666667
-8.065801,-34.889931,-81.4,-74.0,-80.6666666667,-71.8666666667,-50.2,-75.4666666667
-8.065247,-34.893929,-77.4666666667,-61.7666666667,-70.2,-72.0666666667,-55.2333333333,-60.0666666667
-8.077387,-34.89938,-71.05,-52.0,-67.1,-75.1,-78.8,-79.8
-8.07056,-34.893028,-42.1333333333,-59.0666666667,-64.7666666667,-43.2333333333,-49.6,-52.6333333333
-8.065012,-34.897034,-68.2,-48.7,-58.7,-39.25,-69.45,-49.5
-8.07537,-34.892616,-63.1666666667,-74.0,-75.3,-56.8,-64.8,-82.9666666667
-8.076298,-34.895329,-64.6,-53.4,-75.5,-58.1,-74.45,-83.1
-8.068826,-34.888889,-64.8333333333,-74.9666666667,-76.0333333333,-68.6,-52.5333333333,-71.2
-8.06698,-34.895916,-67.55,-60.4,-64.05,-67.45,-68.4,-40.0
-8.067039,-34.893848,-63.0,-79.15,-75.85,-69.3,-70.8,-54.7
-8.07126,-34.892025,-54.75,-74.4,-75.9,-51.35,-36.15,-82.8
-8.075993,-34.894455,-57.85,-59.1,-69.775,-53.525,-74.4,-83.0
-8.071101,-34.900829,-64.5,-67.8,-65.65,-64.85,-76.1,-74.6
-8.070801,-34.892395,-48.7333333333,-69.5333333333,-68.6666666667,-54.4333333333,-54.3333333333,-62.0
-8.077114,-34.899471,-64.05,-52.55,-64.6,-78.55,-78.75,-80.9
-8.07456,-34.890198,-52.5333333333,-68.2333333333,-71.2666666667,-44.6,-69.6333333333,-85.9
-8.07585,-34.899914,-73.1,-65.6,-70.5,-76.0666666667,-83.9333333333,-83.3666666667
-8.065832,-34.891869,-83.4666666667,-77.5,-80.6,-78.7333333333,-52.5666666667,-69.5
-8.075994,-34.899845,-62.5,-61.6666666667,-65.1333333333,-77.9333333333,-78.3333333333,-88.4666666667
-8.069708,-34.890701,-56.2,-61.6333333333,-64.8333333333,-50.2333333333,-33.1666666667,-65.0333333333
-8.070251,-34.893616,-51.7333333333,-66.3666666667,-61.5333333333,-53.5666666667,-55.7,-48.3
-8.070436,-34.896515,-44.85,-66.65,-65.125,-50.4,-68.425,-65.325
-8.064234,-34.89447,-79.0666666667,-50.7333333333,-64.5333333333,-79.0333333333,-66.5333333333,-59.0666666667
-8.072897,-34.900642,-63.2666666667,-66.0333333333,-70.7333333333,-67.7666666667,-87.4666666667,-79.6333333333
-8.074646,-34.890301,-57.4333333333,-74.2666666667,-73.7,-44.3666666667,-73.6333333333,-93.6666666667
-8.076508,-34.896191,-58.9,-37.3666666667,-73.9,-60.6333333333,-76.5666666667,-83.3
-8.076395,-34.899727,-67.5,-52.3666666667,-67.9,-78.3333333333,-78.7333333333,-83.6
-8.076163,-34.895157,-59.7,-47.0,-69.7,-53.35,-77.05,-78.05
-8.065984,-34.896732,-73.1,-53.6333333333,-70.7333333333,-45.2666666667,-64.2666666667,-51.8333333333
-8.065832,-34.89159,-85.2,-77.3,-72.8666666667,-72.3333333333,-61.1,-61.9
-8.074843,-34.89098,-58.4,-70.0333333333,-78.1666666667,-48.6333333333,-72.3666666667,-90.0666666667
-8.06601,-34.89679,-61.45,-48.75,-67.15,-50.95,-67.15,-37.35
-8.068699,-34.88913,-69.6666666667,-79.9333333333,-76.7333333333,-65.8666666667,-52.6333333333,-74.9333333333
-8.059464,-34.906647,-80.5,-75.15,-75.75,-75.45,-83.9,-79.15
-8.071795,-34.89513,-50.4666666667,-54.7333333333,-49.9,-38.9666666667,-60.4333333333,-64.1666666667
-8.073727,-34.900501,-63.1,-58.7,-57.0,-71.2,-86.75,-74.95
-8.072112,-34.900715,-66.6666666667,-51.9666666667,-62.5333333333,-53.0333333333,-82.0,-68.3
-8.070594,-34.896706,-45.3666666667,-64.3666666667,-63.4333333333,-55.3,-72.9,-62.0666666667
-8.073048,-34.89064,-50.1666666667,-73.3666666667,-74.3666666667,-57.4,-54.4666666667,-78.6333333333
-8.062904,-34.888542,-67.6,-71.05,-82.45,-79.125,-79.575,-84.925
-8.072645,-34.896423,-51.0333333333,-55.6666666667,-64.7333333333,-45.9333333333,-67.7666666667,-71.6666666667
-8.0658,-34.890652,-83.2666666667,-84.7333333333,-81.4666666667,-74.5,-73.2666666667,-63.1
-8.074184,-34.900387,-67.4,-49.45,-64.15,-58.75,-88.95,-79.6
-8.072927,-34.896622,-43.3,-44.6,-71.0666666667,-36.1666666667,-65.2,-78.2666666667
-8.070077,-34.894051,-46.85,-69.95,-67.8,-53.2,-52.2,-42.0
-8.077242,-34.898445,-65.3,-26.4,-66.2333333333,-70.0333333333,-76.0,-77.0333333333
-8.062543,-34.901402,-74.2,-70.7333333333,-76.7333333333,-60.9333333333,-68.2333333333,-70.9
-8.070677,-34.891838,-48.8666666667,-75.7333333333,-66.8333333333,-57.0,-44.0333333333,-76.9333333333
