lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.065882,-34.88821,-66.925,-80.825,-76.225,-68.7,-61.8,-83.65
-8.065105,-34.893047,-78.3,-68.3333333333,-74.6333333333,-70.3,-68.2666666667,-62.7333333333
-8.077533,-34.899204,-67.1333333333,-26.8666666667,-62.3,-66.5666666667,-76.5666666667,-80.8333333333
-8.071494,-34.895386,-55.5,-54.0,-59.8333333333,-39.2333333333,-67.7666666667,-60.9333333333
-8.065816,-34.890713,-83.1,-79.9666666667,-74.8666666667,-70.3,-62.0,-66.5
-8.073273,-34.896534,-53.6333333333,-59.2333333333,-41.5333333333,-54.2666666667,-72.3333333333,-72.3666666667
-8.074561,-34.900276,-59.2,-55.9,-52.2,-73.0333333333,-80.5666666667,-84.4666666667
-8.07265,-34.894852,-52.2333333333,-65.9,-47.6333333333,-48.8333333333,-56.0333333333,-73.5333333333
-8.066076,-34.896919,-61.2,-50.6,-63.7333333333,-45.3333333333,-73.0333333333,-40.8333333333
-8.070678,-34.892773,-43.9,-66.85,-64.5,-50.675,-51.0,-53.725
-8.072937,-34.895741,-45.2,-61.2333333333,-61.1,-48.5333333333,-62.3,-69.6666666667
-8.073621,-34.897831,-64.5666666667,-44.2333333333,-35.3333333333,-47.0,-73.9333333333,-79.6333333333
-8.063921,-34.885921,-62.0,-78.55,-78.85,-71.8,-85.9,-87.4
-8.073133,-34.896339,-42.95,-51.85,-67.8,-45.55,-64.35,-78.3
-8.072404,-34.900688,-60.05,-61.1,-67.05,-65.5,-84.35,-71.6
-8.072487,-34.900681,-61.6333333333,-64.0,-64.0666666667,-64.8333333333,-83.1333333333,-69.2
-8.065873,-34.888149,-68.4,-79.15,-80.35,-70.5,-63.3,-88.45
-8.0639,-34.894276,-80.8,-59.75,-71.05,-79.25,-82.05,-64.9
-8.071112,-34.890694,-47.35,-63.3,-65.1,-40.75,-44.25,-72.25
