lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.069653,-34.898186,-47.9333333333,-57.5666666667,-59.3666666667,-58.6333333333,-61.7333333333,-48.2666666667
-8.077034,-34.899506,-63.2,-55.35,-64.8,-77.4,-74.25,-82.75
-8.06301,-34.901348,-84.85,-73.3,-77.95,-71.7,-71.9,-70.85
-8.075426,-34.90004,-70.0,-63.75,-62.65,-74.15,-80.95,-85.25
-8.076567,-34.896431,-64.8666666667,-35.0,-72.6,-60.4333333333,-73.1,-79.7666666667
-8.071256,-34.900791,-66.0,-68.0,-60.6666666667,-66.1,-80.3333333333,-67.7333333333
-8.069892,-34.895988,-35.9666666667,-66.5666666667,-59.6666666667,-51.0333333333,-65.3333333333,-60.4333333333
-8.074472,-34.900314,-67.4,-56.9,-64.5,-64.5,-82.0,-73.9
-8.076917,-34.899548,-67.5666666667,-53.8333333333,-66.3333333333,-78.8,-77.9666666667,-83.1
-8.066355,-34.893158,-76.5,-57.1666666667,-69.1,-73.7,-67.7333333333,-48.6666666667
-8.068856,-34.900234,-48.25,-50.3,-63.4,-65.4,-65.7,-44.85
-8.067219,-34.894024,-69.8,-68.4333333333,-72.9,-64.0666666667,-65.4333333333,-45.9666666667
-8.075108,-34.8918,-62.6333333333,-70.8,-73.2333333333,-43.5,-71.2666666667,-83.7666666667
-8.071979,-34.89204,-50.5666666667,-56.3666666667,-64.1666666667,-36.9333333333,-52.8333333333,-72.9
-8.06579,-34.889786,-83.1666666667,-81.4,-81.4,-67.6,-40.7,-76.4333333333
-8.069013,-34.888504,-64.6333333333,-76.4333333333,-73.7666666667,-69.1333333333,-54.7333333333,-71.2666666667
-8.070015,-34.889484,-68.65,-68.55,-77.75,-56.15,-53.3,-85.75
-8.073474,-34.900547,-68.4666666667,-68.7333333333,-65.6666666667,-68.6,-86.9333333333,-81.1666666667
-8.069555,-34.898464,-43.8,-60.55,-60.8,-59.4,-60.2,-49.8
-8.070855,-34.891991,-41.3,-72.2,-70.65,-58.05,-35.0,-75.75
-8.062819,-34.897289,-76.65,-40.05,-70.1,-48.05,-69.9,-65.6
-8.076345,-34.899746,-70.45,-68.5,-70.0,-79.25,-85.55,-87.0
-8.068487,-34.890724,-74.1,-71.3666666667,-79.1666666667,-56.8666666667,-39.9333333333,-64.1333333333
-8.068719,-34.897778,-44.15,-56.1,-56.45,-49.2,-71.05,-52.2
-8.068026,-34.890564,-71.1666666667,-76.8,-80.0666666667,-65.6333333333,-46.6666666667,-66.2
-8.072858,-34.896389,-52.0333333333,-51.2,-64.3666666667,-41.6,-71.1,-68.3666666667
-8.071647,-34.892124,-52.7666666667,-72.2,-70.2,-45.1333333333,-41.5,-75.3
-8.065805,-34.890659,-78.8,-82.8,-80.1,-71.2666666667,-66.9,-61.4
-8.076077,-34.894833,-54.4,-47.9,-69.25,-51.4,-73.85,-84.95
-8.068208,-34.896641,-50.9666666667,-50.0666666667,-51.5666666667,-37.2,-61.0333333333,-44.9
-8.070049,-34.893997,-47.2,-65.7333333333,-67.5,-53.8666666667,-58.2666666667,-45.0333333333
-8.076166,-34.899803,-65.8,-58.05,-68.45,-80.0,-81.4,-84.7
-8.06272,-34.901363,-79.5333333333,-68.8666666667,-77.0,-76.8666666667,-67.0666666667,-68.6
-8.072744,-34.900646,-67.0333333333,-68.0333333333,-69.0333333333,-65.6,-86.1333333333,-70.5333333333
-8.069477,-34.898659,-56.9666666667,-55.3666666667,-59.4,-60.6333333333,-58.8333333333,-49.0
-8.064005,-34.901463,-79.7666666667,-65.4,-75.3,-61.7666666667,-73.5666666667,-59.4666666667
-8.070931,-34.900845,-68.1,-68.7333333333,-70.5666666667,-72.1,-78.4,-74.1333333333
-8.072844,-34.900635,-63.2,-66.2333333333,-72.0333333333,-71.7666666667,-85.6666666667,-78.9
-8.07757,-34.899296,-67.475,-48.95,-65.375,-81.55,-79.55,-83.425
-8.072524,-34.892223,-51.4333333333,-72.0666666667,-66.6333333333,-49.9666666667,-59.5333333333,-70.9333333333
-8.0756,-34.893547,-59.3333333333,-61.0333333333,-71.0666666667,-51.8,-66.7,-80.4333333333
-8.077127,-34.897911,-60.525,-28.1,-71.1,-65.15,-76.725,-83.1
-8.066499,-34.896774,-71.0333333333,-43.0666666667,-67.9,-53.5666666667,-69.9,-34.2666666667
-8.06855,-34.897335,-50.6,-59.65,-66.6,-65.85,-73.35,-43.4
-8.061922,-34.901936,-77.7,-63.8333333333,-75.3,-72.0666666667,-72.0,-72.6666666667
-8.064255,-34.889317,-71.15,-72.4,-70.55,-74.65,-69.8,-83.95
-8.069077,-34.900505,-67.7,-58.75,-66.2,-70.5,-74.5,-53.45
-8.071269,-34.896996,-41.8,-68.7666666667,-64.0666666667,-49.0333333333,-73.4,-62.1333333333
-8.075927,-34.894352,-61.7,-54.6666666667,-66.1666666667,-48.6666666667,-68.6666666667,-82.8
-8.062613,-34.887489,-73.95,-83.0,-86.95,-85.5,-85.425,-90.85
-8.071995,-34.892029,-51.0,-58.8666666667,-61.5,-42.9333333333,-50.9333333333,-76.4666666667
