lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.066913,-34.896805,-60.2666666667,-47.2333333333,-52.6666666667,-38.0333333333,-63.1666666667,-44.6333333333
-8.06938,-34.895271,-52.3,-72.35,-53.3,-59.05,-52.3,-56.5
-8.070014,-34.90086,-75.7,-70.2666666667,-56.5666666667,-75.0666666667,-79.7666666667,-70.6333333333
-8.06028,-34.905697,-80.3,-68.2,-72.6,-76.35,-80.1,-76.7
-8.066894,-34.89682,-58.55,-46.05,-54.15,-34.9,-64.15,-38.1
-8.070576,-34.896893,-44.8666666667,-60.1666666667,-62.8333333333,-53.4,-71.4666666667,-58.8666666667
-8.071667,-34.892143,-50.3,-66.65,-68.2,-50.8,-42.2,-82.175
-8.075659,-34.89362,-60.05,-68.45,-73.0,-53.35,-66.45,-76.65
-8.072586,-34.900673,-57.0,-60.7,-71.15,-63.55,-84.85,-73.5
-8.069362,-34.895401,-53.4230769231,-60.9138461538,-61.2076923077,-42.4415384615,-58.0861538462,-61.9292307692
-8.076538,-34.899693,-64.7,-59.2,-70.1,-77.8666666667,-78.1333333333,-85.4666666667
-8.076114,-34.894791,-60.1,-49.9666666667,-77.9666666667,-50.0333333333,-77.8,-78.5333333333
-8.063821,-34.894142,-84.5333333333,-56.8,-69.8,-76.6333333333,-80.1666666667,-67.8
-8.06395,-34.893833,-81.25,-66.45,-73.6,-77.2,-74.0,-66.1
-8.066629,-34.896698,-56.45,-59.0,-62.6,-64.8,-72.05,-41.35
-8.06885,-34.888809,-64.45,-75.7,-75.65,-67.1,-50.4,-71.15
-8.067896,-34.892323,-67.1333333333,-68.9,-68.6666666667,-50.2,-63.3666666667,-49.2
-8.068291,-34.889973,-66.5,-74.7333333333,-83.0333333333,-62.4666666667,-46.3,-73.1666666667
-8.070623,-34.896149,-55.55,-53.475,-62.525,-40.675,-68.9,-65.4
-8.074376,-34.900314,-54.4666666667,-54.4,-60.6333333333,-64.0,-81.1666666667,-70.5
-8.077354,-34.898808,-64.3666666667,-24.2333333333,-69.6,-64.6333333333,-73.4666666667,-82.7666666667
-8.068451,-34.891434,-49.975,-73.175,-70.725,-53.5,-58.925,-63.5
-8.077362,-34.898842,-60.9,-29.7333333333,-65.8,-65.5666666667,-75.7666666667,-78.0
-8.075368,-34.900051,-67.4,-53.9,-62.6,-72.5333333333,-84.6,-83.8
-8.072829,-34.895279,-37.6333333333,-63.1,-38.7,-55.5,-62.0666666667,-72.9666666667
-8.070724,-34.892647,-44.5,-70.4,-66.3,-54.05,-58.05,-58.5
-8.073972,-34.899136,-62.6,-49.2,-36.8,-57.7333333333,-76.6,-77.0
-8.066779,-34.894936,-64.1,-67.7,-72.05,-66.45,-67.6,-44.4
-8.075975,-34.899868,-66.75,-58.95,-69.95,-77.65,-80.55,-85.2
-8.077545,-34.899265,-66.2,-33.65,-71.05,-71.75,-71.4,-84.55
-8.067932,-34.892513,-67.0666666667,-67.0,-69.8666666667,-48.2666666667,-61.9333333333,-57.4666666667
-8.068755,-34.896584,-44.8,-47.6666666667,-51.8333333333,-38.6,-59.9333333333,-45.6666666667
-8.072556,-34.891972,-48.3666666667,-67.8666666667,-67.3,-44.0,-57.8,-70.5
-8.068666,-34.89658,-43.95,-49.55,-47.25,-37.7,-59.15,-40.4
-8.074171,-34.900002,-66.5,-51.3,-33.6666666667,-63.4666666667,-78.8666666667,-82.7
-8.060746,-34.905182,-80.85,-70.35,-71.7,-76.45,-82.85,-75.8
-8.068377,-34.890717,-72.1333333333,-76.8666666667,-79.2666666667,-59.6666666667,-40.6,-69.0666666667
-8.063487,-34.897236,-74.0,-48.6,-69.3,-44.2,-69.3,-56.25
-8.070829,-34.891758,-46.4666666667,-62.4666666667,-68.2333333333,-46.0,-52.6,-76.7333333333
-8.070598,-34.892933,-41.45,-69.3,-62.3,-51.65,-59.55,-53.6
-8.076427,-34.895897,-70.7666666667,-42.4,-75.2,-65.5,-73.9333333333,-87.0666666667
-8.069811,-34.894558,-49.5333333333,-66.2666666667,-64.9,-64.3,-62.9333333333,-48.5666666667
-8.062372,-34.887772,-82.3195121951,-77.6975609756,-87.7390243902,-88.0780487805,-84.1487804878,-91.6682926829
-8.072394,-34.893589,-48.3666666667,-68.2666666667,-50.7,-49.7666666667,-53.1666666667,-70.8
-8.076381,-34.895527,-57.5333333333,-35.2333333333,-79.2333333333,-57.8,-75.0666666667,-83.5333333333
-8.0689,-34.896038,-53.3333333333,-62.1333333333,-58.0666666667,-45.9333333333,-62.3333333333,-55.0333333333
-8.070963,-34.891949,-53.7,-71.1666666667,-71.0,-56.2666666667,-32.1333333333,-76.3333333333
-8.067843,-34.890507,-64.95,-69.45,-72.25,-54.55,-48.0,-73.9
-8.06621,-34.889225,-68.45,-78.85,-76.7,-67.05,-36.45,-84.3
