lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.070922,-34.891926,-48.8333333333,-73.8,-74.6,-57.3666666667,-33.6333333333,-76.8666666667
-8.063224,-34.901382,-88.7,-74.6,-78.6,-69.95,-74.6,-80.55
-8.070073,-34.889904,-46.7,-82.9,-69.3,-65.9333333333,-59.3,-78.0666666667
-8.065119,-34.901386,-77.1,-67.8333333333,-68.4,-65.0666666667,-73.6666666667,-71.8666666667
-8.065366,-34.886539,-68.4666666667,-71.0,-78.0333333333,-71.7666666667,-68.5333333333,-71.9
-8.069844,-34.900806,-72.5,-71.3,-61.7666666667,-68.4666666667,-79.3,-66.9
-8.073052,-34.896313,-52.55,-61.85,-60.55,-48.55,-67.2,-74.0
-8.068977,-34.897396,-53.65,-45.9,-61.35,-36.55,-65.8,-50.0
-8.069246,-34.888065,-64.8,-77.9,-79.55,-72.2,-57.75,-75.95
-8.075498,-34.896271,-67.6333333333,-60.3,-76.8,-67.5666666667,-71.7,-78.3
-8.066651,-34.895519,-65.3,-60.05,-59.85,-65.05,-68.9,-37.25
-8.069588,-34.894917,-42.8,-71.6666666667,-66.8666666667,-57.3666666667,-62.6666666667,-52.4666666667
-8.05934,-34.906826,-85.45,-71.2,-83.7,-76.55,-83.55,-85.55
-8.073659,-34.893925,-35.6666666667,-54.9,-53.1,-35.4,-55.2666666667,-49.2666666667
-8.077342,-34.89938,-76.55,-60.8,-74.9,-86.8,-76.75,-79.45
-8.062757,-34.897285,-78.05,-60.85,-73.7,-55.2,-73.4,-62.9
-8.07203,-34.900715,-60.8,-53.6,-60.15,-50.85,-80.2,-71.5
-8.06579,-34.890324,-78.0666666667,-73.4333333333,-84.3,-72.1333333333,-58.1666666667,-73.1333333333
-8.069288,-34.888081,-72.7,-77.3333333333,-78.3333333333,-69.9333333333,-56.5333333333,-74.3333333333
-8.072648,-34.900661,-63.6,-62.65,-62.7,-67.45,-86.1,-75.5
-8.068994,-34.888538,-64.4,-74.2,-72.7,-75.3,-61.0333333333,-71.4333333333
-8.067716,-34.896721,-58.6333333333,-51.3333333333,-50.2333333333,-35.0666666667,-65.7,-56.8666666667
-8.07642,-34.895596,-57.5,-37.8,-76.95,-54.3,-72.95,-79.1
-8.074666,-34.890381,-57.3333333333,-67.2,-77.0333333333,-44.6333333333,-75.0666666667,-92.2333333333
-8.066631,-34.895241,-67.9,-52.6333333333,-64.5333333333,-68.1666666667,-70.7,-34.7333333333
-8.073777,-34.898407,-60.75,-46.65,-38.1,-50.4,-75.25,-76.8
-8.063748,-34.893967,-80.45,-60.1,-76.25,-82.45,-78.75,-62.5
-8.065419,-34.901337,-72.8666666667,-71.3,-65.4666666667,-57.3333333333,-76.6,-72.9333333333
-8.074162,-34.900398,-63.8333333333,-46.9666666667,-55.8333333333,-61.5,-86.9666666667,-81.3
-8.069994,-34.8941,-51.0,-63.7333333333,-68.8333333333,-58.3,-59.7666666667,-46.8666666667
