lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.069694,-34.895878,-41.9333333333,-62.2666666667,-67.7,-49.0,-62.7333333333,-63.9666666667
-8.071026,-34.89196,-49.8333333333,-73.7333333333,-73.4,-57.1,-32.1,-78.4
-8.070281,-34.897293,-38.2,-56.7,-63.5,-50.75,-67.65,-41.7
-8.063838,-34.886002,-67.45,-89.3,-81.85,-72.55,-82.5,-90.9
-8.076554,-34.896343,-56.2,-42.2333333333,-76.1666666667,-61.4333333333,-69.5666666667,-80.1666666667
-8.06993,-34.897552,-53.8,-60.9666666667,-64.3333333333,-63.8,-67.4333333333,-50.1666666667
-8.071871,-34.897263,-52.75,-59.55,-67.85,-56.8,-80.3,-66.6
-8.068645,-34.88958,-63.9,-71.7333333333,-79.6666666667,-57.5666666667,-51.0,-82.8333333333
-8.06833,-34.889885,-71.5666666667,-79.4666666667,-81.2,-63.6,-49.7,-74.2333333333
-8.074195,-34.900383,-69.4666666667,-49.0666666667,-66.4,-58.3,-86.3666666667,-84.2666666667
-8.074428,-34.900307,-63.4,-53.425,-61.725,-68.85,-87.075,-76.75
-8.075789,-34.899933,-65.5,-49.8666666667,-75.5,-74.7,-86.9333333333,-83.1
-8.064753,-34.901417,-68.75,-65.65,-71.15,-66.0,-75.35,-70.1
-8.074916,-34.891209,-68.8,-67.7,-71.6333333333,-43.5,-73.6666666667,-90.5333333333
-8.063136,-34.897278,-74.35,-39.6,-65.65,-40.8,-72.4,-55.35
-8.07108,-34.896923,-36.8333333333,-62.1,-60.6666666667,-51.5333333333,-71.2,-63.0
-8.069138,-34.899532,-49.0,-64.0,-64.3,-61.95,-65.65,-52.2
-8.071583,-34.897121,-49.1333333333,-67.9,-66.3333333333,-57.3666666667,-70.7333333333,-61.9
-8.07391,-34.890396,-35.7333333333,-78.8333333333,-69.8,-66.6666666667,-56.4,-75.4333333333
-8.075682,-34.899948,-71.5666666667,-54.2,-68.8,-73.8,-77.9333333333,-83.5
-8.069173,-34.88818,-73.6,-74.7,-75.1666666667,-69.7,-57.0666666667,-70.9
-8.070931,-34.900845,-68.1,-68.7333333333,-70.5666666667,-72.1,-78.4,-74.1333333333
-8.063701,-34.896912,-77.7,-49.9,-75.2,-66.35,-68.8,-58.25
-8.069708,-34.898113,-46.0666666667,-61.4,-66.3333333333,-54.1666666667,-66.5,-46.0333333333
-8.077538,-34.899231,-60.5069767442,-28.8697674419,-62.6348837209,-68.5325581395,-72.676744186,-83.3093023256
-8.066632,-34.893658,-61.7333333333,-76.1333333333,-78.4666666667,-67.5,-63.0,-54.8
-8.073765,-34.898327,-61.1333333333,-42.6666666667,-38.5333333333,-47.4666666667,-77.4,-75.1
-8.069209,-34.888126,-67.0,-74.3,-79.35,-68.9,-62.2,-72.65
-8.074744,-34.900234,-65.6,-54.5,-61.1666666667,-67.6,-81.3,-80.7
-8.071508,-34.89711,-49.5,-63.0,-66.0,-61.8,-77.15,-69.55
-8.074245,-34.900276,-61.3,-55.05,-36.6,-59.1,-81.8,-80.8
-8.075096,-34.900131,-66.5666666667,-64.4333333333,-64.0333333333,-75.7,-80.4333333333,-81.5666666667
-8.068585,-34.889366,-69.8,-78.7,-77.1333333333,-63.0666666667,-52.1666666667,-75.2333333333
-8.065285,-34.897007,-67.1,-40.7333333333,-67.5666666667,-41.2666666667,-69.6666666667,-50.3333333333
