lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.070709,-34.8922,-50.9666666667,-72.7333333333,-64.9333333333,-56.5666666667,-50.2,-66.1
-8.077353,-34.8988,-64.6333333333,-24.1666666667,-67.3333333333,-62.8,-73.6333333333,-81.2666666667
-8.076428,-34.895615,-59.325,-39.075,-76.525,-59.925,-73.3,-81.0
-8.069283,-34.900566,-66.7666666667,-69.1,-64.4666666667,-68.1,-79.8333333333,-64.0333333333
-8.06916,-34.895664,-51.6,-71.4666666667,-62.1333333333,-52.5666666667,-64.2333333333,-62.2333333333
-8.071415,-34.900776,-65.2,-65.7,-56.4,-61.65,-75.6,-71.0
-8.069949,-34.900837,-71.8666666667,-75.4,-57.8,-69.5,-76.4666666667,-71.6666666667
-8.071119,-34.891998,-47.9617647059,-68.4705882353,-70.9705882353,-56.0941176471,-33.3352941176,-86.2852941176
-8.069521,-34.900684,-64.85,-77.9,-67.4,-73.9,-73.4,-64.1
-8.077133,-34.899464,-68.2333333333,-54.7666666667,-66.8,-77.1333333333,-76.9666666667,-80.0333333333
-8.066731,-34.896839,-63.9333333333,-48.8,-52.8333333333,-37.1,-67.0666666667,-37.2
-8.067151,-34.894165,-70.0666666667,-65.4333333333,-71.6,-71.8666666667,-68.2333333333,-46.8333333333
-8.075513,-34.893074,-65.0,-66.4666666667,-70.3666666667,-49.2,-76.4333333333,-81.1
-8.071036,-34.895786,-59.6666666667,-53.5333333333,-65.1333333333,-46.1666666667,-67.8333333333,-61.8
-8.073533,-34.900551,-71.8333333333,-67.9666666667,-62.7333333333,-67.8,-87.2333333333,-78.1333333333
-8.077359,-34.898823,-66.0333333333,-28.4777777778,-65.9222222222,-64.0888888889,-68.5222222222,-81.7611111111
-8.0775,-34.899338,-71.8333333333,-60.7666666667,-67.0666666667,-79.9666666667,-78.7333333333,-87.4666666667
-8.069237,-34.888077,-72.2,-77.8666666667,-77.9,-66.6666666667,-52.6666666667,-82.2666666667
-8.068926,-34.888664,-61.9666666667,-72.8,-72.8,-73.0666666667,-48.9333333333,-69.8333333333
-8.069236,-34.888084,-73.9,-73.3,-74.55,-64.95,-56.1,-69.3
-8.076408,-34.899723,-65.0,-56.5333333333,-69.2666666667,-76.4333333333,-79.9333333333,-85.6
-8.064793,-34.889526,-76.4,-74.4,-72.1,-77.1666666667,-67.0333333333,-83.0333333333
-8.072489,-34.896294,-45.4,-52.7,-68.1,-45.7,-60.0,-59.15
-8.067059,-34.894279,-67.7,-70.65,-73.45,-66.75,-58.0,-41.95
-8.066758,-34.89563,-67.9333333333,-67.6,-63.6666666667,-64.1666666667,-71.6,-39.9
-8.066935,-34.894604,-68.7666666667,-59.9,-66.3333333333,-67.3,-67.3333333333,-38.0
-8.070537,-34.890694,-54.2,-60.75,-63.0,-44.0,-34.65,-71.5
-8.072221,-34.896675,-45.75,-43.15,-55.05,-38.25,-67.7,-65.35
-8.072352,-34.892147,-62.85,-49.55,-64.05,-31.225,-58.225,-77.35
-8.063019,-34.886967,-73.7333333333,-79.6666666667,-85.9666666667,-85.8,-87.1333333333,-90.1666666667
-8.068869,-34.890717,-70.5333333333,-72.7,-73.4,-55.7333333333,-34.5333333333,-71.0666666667
-8.07488,-34.891094,-57.2666666667,-66.8666666667,-74.1,-48.4333333333,-75.5,-91.5333333333
-8.066758,-34.89563,-67.9333333333,-67.6,-63.6666666667,-64.1666666667,-71.6,-39.9
-8.065799,-34.889553,-83.2,-77.1,-77.5,-69.6666666667,-53.7666666667,-78.1
-8.068819,-34.888874,-65.9,-80.8333333333,-72.6,-67.1333333333,-51.6666666667,-64.7333333333
-8.067586,-34.890347,-63.3333333333,-76.2,-71.6333333333,-53.0666666667,-43.1333333333,-75.3333333333
-8.077271,-34.898529,-66.35,-24.8,-63.575,-71.675,-72.6,-81.5
