lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.05951,-34.90659,-80.7666666667,-75.2666666667,-76.1666666667,-73.4,-81.0,-76.9
-8.075461,-34.89629,-68.8,-53.95,-74.6,-60.4,-70.3,-82.45
-8.076343,-34.896008,-61.4333333333,-56.0666666667,-74.9,-65.4,-73.0333333333,-74.6666666667
-8.073198,-34.896347,-39.7666666667,-55.1,-36.0666666667,-55.7,-68.4,-75.4666666667
-8.075724,-34.893494,-56.0,-69.4,-69.2666666667,-51.7666666667,-64.4,-86.0
-8.070963,-34.891949,-53.7,-71.1666666667,-71.0,-56.2666666667,-32.1333333333,-76.3333333333
-8.075328,-34.89249,-63.0,-72.9,-73.4,-52.45,-67.05,-86.15
-8.068594,-34.897247,-59.8,-60.95,-65.85,-54.4,-75.05,-46.3
-8.07521,-34.892113,-60.6333333333,-71.3666666667,-72.3333333333,-41.2,-66.3,-82.1333333333
-8.065141,-34.885914,-77.9666666667,-73.1,-79.7333333333,-73.1,-70.2,-83.9666666667
-8.071026,-34.891804,-44.1,-63.75,-69.6,-43.65,-48.85,-72.5
-8.066382,-34.895679,-66.8666666667,-66.5333333333,-68.2333333333,-68.8333333333,-66.2666666667,-40.2
-8.074667,-34.900291,-61.4333333333,-69.5666666667,-45.0,-72.2333333333,-82.1333333333,-84.5333333333
-8.065648,-34.901295,-74.7,-68.85,-69.0,-65.75,-74.95,-68.2
-8.069518,-34.898556,-48.5,-58.3,-61.6666666667,-59.9333333333,-60.5666666667,-60.2333333333
-8.062162,-34.901833,-72.2333333333,-60.2666666667,-76.5,-73.2,-71.6666666667,-63.3333333333
-8.070665,-34.891968,-50.2,-76.05,-70.45,-55.65,-42.1,-72.5
-8.07323,-34.896503,-45.0,-61.9,-57.4666666667,-49.4,-71.1666666667,-64.6666666667
-8.06582,-34.890743,-77.9333333333,-79.9,-73.2666666667,-72.7,-64.4666666667,-65.9333333333
-8.074441,-34.900326,-58.3,-56.6,-60.05,-66.75,-84.7,-77.75
-8.073205,-34.896538,-44.3,-52.1666666667,-59.3666666667,-44.9,-65.8,-76.6
-8.077094,-34.897816,-62.7,-25.5,-73.2,-61.6,-70.6,-73.95
-8.074954,-34.891327,-65.2,-70.0,-69.1333333333,-44.7333333333,-72.9,-90.7333333333
-8.077362,-34.898842,-60.9,-29.7333333333,-65.8,-65.5666666667,-75.7666666667,-78.0
-8.074533,-34.900276,-63.725,-57.1875,-56.625,-71.2125,-83.5625,-79.7625
-8.070265,-34.893688,-58.15,-64.25,-66.6,-52.9,-53.8,-49.75
-8.064286,-34.897068,-73.0,-48.0666666667,-67.6333333333,-49.3333333333,-68.9,-56.9
-8.072637,-34.896503,-43.8,-43.8333333333,-65.7,-37.4,-64.9333333333,-71.2333333333
-8.071628,-34.90078,-71.3666666667,-62.3666666667,-69.1666666667,-59.8333333333,-77.1,-75.5666666667
-8.066892,-34.901016,-69.8,-63.4,-62.1,-58.45,-56.35,-64.5
-8.075475,-34.89629,-57.4,-58.8,-73.05,-59.05,-72.5,-78.15
-8.075452,-34.892868,-59.7333333333,-66.6666666667,-69.1333333333,-51.6,-64.2666666667,-73.9333333333
-8.076687,-34.899635,-64.0666666667,-56.7333333333,-63.4333333333,-76.3333333333,-76.2666666667,-86.1333333333
-8.069011,-34.899857,-44.8,-62.3333333333,-66.0666666667,-54.9333333333,-61.5,-47.7333333333
-8.077503,-34.899101,-67.4333333333,-23.4333333333,-62.7666666667,-65.3666666667,-74.0,-85.7
-8.07748,-34.899185,-72.8333333333,-29.4666666667,-65.8333333333,-66.8666666667,-71.5333333333,-79.2333333333
-8.072744,-34.890686,-49.525,-71.625,-70.7,-57.475,-44.5,-81.15
-8.066881,-34.892612,-78.1,-73.0666666667,-73.4,-70.2333333333,-65.0333333333,-51.9
-8.07058,-34.896835,-41.1,-60.1666666667,-60.0,-44.2666666667,-67.8666666667,-60.5333333333
-8.068959,-34.889622,-71.825,-72.35,-81.45,-54.125,-48.0,-79.825
-8.076424,-34.89576,-58.6333333333,-41.4333333333,-70.7666666667,-68.9,-68.4333333333,-87.5666666667
-8.077481,-34.899342,-68.5333333333,-53.2,-66.8333333333,-79.9,-78.4,-80.4
-8.070728,-34.896774,-48.85,-68.4,-65.75,-48.05,-78.45,-68.2
-8.070745,-34.892376,-54.1,-71.55,-61.05,-48.65,-58.85,-63.4
-8.068833,-34.900387,-53.1,-59.7333333333,-62.2,-65.9,-72.0,-56.0333333333
-8.059848,-34.9062,-78.3666666667,-78.1,-78.8333333333,-76.6,-81.9666666667,-77.8
-8.077424,-34.899025,-65.5,-28.2333333333,-71.3,-66.5,-70.6,-82.9
-8.066875,-34.896301,-58.7,-65.6333333333,-61.7666666667,-61.8,-73.3333333333,-52.4
-8.07541,-34.892776,-60.1666666667,-71.1,-73.3333333333,-51.3333333333,-65.3333333333,-86.2666666667
-8.067385,-34.896763,-62.4666666667,-51.7333333333,-47.6,-37.1333333333,-64.7333333333,-37.9333333333
-8.076431,-34.895622,-62.4666666667,-36.9666666667,-75.3,-56.8666666667,-72.8666666667,-80.7
-8.060666,-34.905266,-80.05,-74.5,-71.5,-75.25,-72.45,-75.25
-8.067734,-34.890442,-64.9666666667,-65.3666666667,-72.3,-46.7,-48.4666666667,-70.6666666667
-8.07539,-34.892712,-66.5333333333,-71.0,-75.1,-55.5333333333,-70.1,-86.0333333333
-8.074603,-34.900303,-65.4,-54.3333333333,-48.8333333333,-71.3,-85.7666666667,-79.7
-8.074525,-34.90028,-62.3333333333,-57.1333333333,-54.9,-74.0333333333,-81.7333333333,-81.0333333333
-8.077546,-34.899288,-66.825,-35.6,-64.875,-72.575,-79.525,-78.45
-8.076425,-34.899723,-72.0,-52.0,-82.7,-73.45,-78.05,-88.0
-8.069769,-34.894531,-46.4333333333,-70.5333333333,-66.9,-62.6333333333,-61.2,-50.2666666667
-8.065929,-34.88839,-69.2,-78.7666666667,-75.9666666667,-68.1666666667,-53.7,-81.8666666667
-8.076488,-34.896183,-66.75,-40.175,-72.85,-61.55,-70.5,-83.35
-8.066161,-34.893513,-69.5,-71.2,-69.1,-67.7333333333,-51.5,-57.4333333333
-8.072932,-34.890682,-41.5,-70.8333333333,-68.2,-58.5333333333,-49.3,-82.6
-8.071307,-34.895546,-59.8666666667,-54.9,-64.8333333333,-38.7666666667,-63.8333333333,-53.8666666667
-8.069025,-34.888474,-56.0666666667,-77.8,-79.3333333333,-71.8,-55.8666666667,-74.2333333333
-8.074516,-34.890156,-47.2666666667,-74.6333333333,-68.5666666667,-51.9,-66.6666666667,-85.9333333333
-8.075976,-34.899849,-67.8,-54.65,-65.1,-82.05,-79.05,-85.0
-8.077357,-34.898571,-67.0,-27.65,-64.95,-68.65,-79.8,-78.95
-8.072835,-34.895935,-55.4666666667,-58.2333333333,-67.3,-51.3,-66.0333333333,-70.9333333333
-8.071981,-34.897209,-48.1,-57.7666666667,-61.6666666667,-49.8666666667,-70.1333333333,-67.9
-8.069289,-34.900589,-71.3333333333,-69.7333333333,-68.4666666667,-72.5,-75.8,-61.7666666667
-8.065628,-34.892662,-82.0333333333,-68.5,-67.7666666667,-73.0333333333,-60.2333333333,-61.1
-8.073075,-34.900623,-62.0333333333,-59.2666666667,-68.3333333333,-67.7666666667,-84.1666666667,-71.1666666667
-8.060599,-34.905338,-79.775,-69.675,-71.975,-74.6,-79.575,-73.475
-8.063457,-34.886429,-71.4,-82.0333333333,-86.5333333333,-79.8,-91.0,-90.3666666667
-8.073149,-34.896294,-38.8666666667,-63.1666666667,-39.3333333333,-48.4333333333,-63.1333333333,-73.4333333333
-8.074892,-34.9002,-67.8,-65.05,-68.8,-70.3,-84.275,-81.975
-8.068153,-34.899975,-50.75,-52.75,-64.5,-44.75,-73.25,-50.5
-8.063335,-34.888771,-63.8666666667,-66.2666666667,-85.9333333333,-71.0333333333,-71.4666666667,-82.3333333333
-8.070068,-34.889511,-64.55,-68.125,-76.575,-51.225,-46.875,-80.45
-8.069934,-34.897514,-52.5,-57.2,-61.0,-55.9,-63.9333333333,-47.4666666667
-8.069961,-34.896019,-40.0,-64.6666666667,-62.4,-49.6666666667,-64.7333333333,-68.5
-8.072147,-34.9007,-57.7333333333,-50.9,-64.6,-56.3,-83.7,-67.4666666667
-8.070692,-34.900883,-72.9,-69.2333333333,-69.5333333333,-68.0,-77.3,-72.1666666667
-8.06926,-34.888073,-70.1333333333,-81.9333333333,-73.8,-70.8666666667,-57.7666666667,-85.3
-8.077177,-34.899437,-71.7,-56.7666666667,-71.6333333333,-80.5333333333,-75.0333333333,-87.7666666667
-8.062217,-34.88805,-81.7,-74.65,-80.25,-87.2,-80.75,-87.2
-8.069464,-34.898678,-55.4,-57.75,-60.3,-58.3,-66.1,-44.65
-8.077293,-34.898491,-58.0,-30.8333333333,-67.7,-71.3333333333,-74.8333333333,-80.4
-8.072644,-34.890686,-44.0666666667,-74.8,-69.6,-58.1333333333,-49.0,-80.2
-8.070773,-34.896812,-32.5333333333,-61.2666666667,-63.9,-51.3666666667,-65.4666666667,-60.8666666667
-8.065397,-34.886631,-63.9666666667,-73.4666666667,-77.9333333333,-73.1666666667,-59.1333333333,-74.3666666667
-8.066233,-34.889309,-75.85,-81.15,-79.65,-67.25,-52.275,-89.275
-8.064293,-34.893597,-81.3,-61.775,-75.625,-78.3,-68.6,-64.675
-8.066803,-34.894802,-63.4,-74.5,-67.0,-72.25,-66.6,-44.25
-8.06731,-34.892399,-77.1666666667,-68.9,-71.5666666667,-61.5,-62.4333333333,-54.9
-8.069597,-34.897373,-51.1666666667,-57.0666666667,-63.6,-52.7333333333,-67.7666666667,-43.5666666667
-8.075966,-34.894333,-58.6,-57.8333333333,-65.6333333333,-47.1666666667,-66.1666666667,-77.0
-8.072495,-34.896755,-48.4,-46.1,-56.5,-38.6,-65.65,-74.9
-8.069619,-34.894821,-47.9333333333,-66.8666666667,-67.4333333333,-63.3333333333,-50.5333333333,-56.5333333333
-8.072556,-34.896324,-50.4333333333,-55.7333333333,-68.0333333333,-49.4666666667,-62.0666666667,-75.2333333333
