lat,lon,RSSI[]
-8.077271,-34.898529,-66.35,-71.675,-24.8,-63.575
-8.077266,-34.899399,-70.2,-80.2333333333,-56.4666666667,-64.8333333333
-8.077255,-34.898392,-62.8333333333,-67.9666666667,-29.7333333333,-63.6
-8.077255,-34.898281,-62.4666666667,-67.1666666667,-30.9333333333,-69.0666666667
-8.077242,-34.898445,-65.3,-70.0333333333,-26.4,-66.2333333333
-8.077239,-34.899406,-68.0666666667,-79.3333333333,-60.5666666667,-66.9666666667
-8.077236,-34.899422,-64.6,-76.05,-56.45,-71.35
-8.077222,-34.898285,-60.6,-68.425,-31.825,-68.225
-8.077222,-34.898186,-59.975,-69.175,-36.575,-75.875
-8.077211,-34.899422,-70.4,-83.85,-59.85,-72.4
-8.077209,-34.899433,-63.3,-79.7,-60.9333333333,-67.8
-8.077207,-34.898354,-61.3666666667,-66.9,-28.3333333333,-72.6
-8.07719,-34.898094,-70.7333333333,-68.1666666667,-38.9333333333,-69.4666666667
-8.077186,-34.899441,-65.9666666667,-79.1333333333,-58.5333333333,-65.6333333333
-8.077181,-34.89817,-64.05,-68.9,-32.1,-62.25
-8.077177,-34.899437,-71.7,-80.5333333333,-56.7666666667,-71.6333333333
-8.077169,-34.898254,-60.1,-68.1666666667,-31.9,-70.4666666667
-8.077158,-34.898006,-60.5,-68.7,-32.8666666667,-67.2333333333
-8.07714,-34.898056,-67.3333333333,-63.2666666667,-30.7,-70.7666666667
-8.077133,-34.899464,-68.2333333333,-77.1333333333,-54.7666666667,-66.8
-8.077133,-34.899448,-67.4333333333,-77.6,-55.6333333333,-66.4333333333
-8.077133,-34.898151,-65.175,-67.05,-37.225,-73.25
-8.077127,-34.897911,-60.525,-65.15,-28.1,-71.1
-8.077114,-34.899471,-64.05,-78.55,-52.55,-64.6
-8.077102,-34.897942,-62.7333333333,-65.8,-30.6,-67.3666666667
-8.077097,-34.898041,-63.0666666667,-69.5666666667,-33.0,-69.4666666667
-8.077094,-34.897816,-62.7,-61.6,-25.5,-73.2
-8.077086,-34.899464,-64.8,-77.9666666667,-55.1,-67.2
-8.077082,-34.899487,-65.9,-78.4333333333,-53.3,-59.9666666667
-8.077062,-34.897713,-59.825,-63.675,-25.95,-71.825
-8.07706,-34.897823,-59.675,-65.475,-28.7,-71.8
-8.077059,-34.897934,-67.5666666667,-66.3333333333,-29.6,-73.1
-8.077058,-34.899471,-70.7,-77.85,-61.2,-70.95
-8.077043,-34.899479,-64.8666666667,-81.2666666667,-52.2666666667,-70.3666666667
-8.077034,-34.899506,-63.2,-77.4,-55.35,-64.8
-8.077028,-34.89761,-64.75,-62.7,-26.1,-75.55
-8.077023,-34.897827,-61.0333333333,-65.9,-30.9666666667,-71.4333333333
-8.077021,-34.899487,-65.0666666667,-74.0333333333,-62.1333333333,-71.1333333333
-8.077016,-34.897705,-61.5,-61.4,-25.2333333333,-72.2
-8.077014,-34.899513,-65.6333333333,-78.2,-55.4333333333,-72.4
-8.076993,-34.899521,-66.5,-78.1333333333,-51.4333333333,-66.6666666667
-8.076993,-34.897499,-61.0,-65.175,-27.15,-78.125
-8.076987,-34.899506,-63.05,-81.525,-54.0,-70.65
-8.076987,-34.89772,-64.8666666667,-69.0,-26.6666666667,-70.5666666667
-8.076969,-34.897587,-65.0666666667,-61.7666666667,-25.5333333333,-73.3
-8.076956,-34.897385,-63.1333333333,-65.3666666667,-28.2666666667,-73.0333333333
-8.076955,-34.899536,-62.8666666667,-82.2,-52.1,-68.2
-8.076955,-34.897617,-57.8333333333,-60.3,-24.0,-73.2666666667
-8.076941,-34.899525,-63.65,-84.25,-61.15,-70.55
-8.076926,-34.897472,-61.7333333333,-61.2333333333,-23.2333333333,-68.9333333333
-8.076922,-34.897518,-64.9666666667,-62.3,-24.1,-75.3
-8.076917,-34.899548,-67.5666666667,-78.8,-53.8333333333,-66.3333333333
-8.076916,-34.897266,-64.3666666667,-62.9333333333,-29.9666666667,-78.1666666667
-8.076911,-34.899551,-68.3666666667,-80.0333333333,-53.5333333333,-66.4
-8.076888,-34.897411,-60.6,-68.3333333333,-25.7333333333,-75.4666666667
-8.076888,-34.897358,-62.3666666667,-63.6333333333,-25.3333333333,-77.8666666667
-8.07688,-34.899559,-63.3,-79.35,-60.2,-60.4
-8.076878,-34.899548,-72.5666666667,-80.2666666667,-54.1333333333,-63.6333333333
-8.076875,-34.897144,-65.0666666667,-65.0,-33.3666666667,-74.9
-8.076853,-34.897301,-63.5,-63.5333333333,-27.7,-77.7666666667
-8.076853,-34.897243,-64.9333333333,-66.4666666667,-30.6666666667,-76.2333333333
-8.076844,-34.89957,-67.3333333333,-78.3666666667,-55.1333333333,-67.0333333333
-8.076833,-34.897018,-60.1333333333,-63.2,-36.1666666667,-72.8333333333
-8.076817,-34.897186,-61.05,-63.2,-32.85,-74.9
-8.076816,-34.897121,-62.6333333333,-66.2333333333,-30.8,-74.2
-8.076813,-34.89959,-67.9666666667,-76.0,-49.4666666667,-67.5666666667
-8.076806,-34.899586,-68.0333333333,-76.2,-48.4333333333,-63.9666666667
-8.076802,-34.899574,-65.2333333333,-76.7,-49.2,-64.7
-8.07679,-34.896889,-63.4,-60.2,-32.9,-70.4333333333
-8.076777,-34.897064,-58.8666666667,-65.1,-34.2666666667,-73.8
-8.076776,-34.896996,-64.8,-64.9666666667,-33.5666666667,-71.7
-8.076767,-34.899601,-62.3333333333,-76.3333333333,-50.1666666667,-68.6
